Rank,Cafe,Menu,Price,Address
,Old Oak Tap,BLT,,
,Au Cheval,Fried Bologna,,
,Xoco,Woodland Mushroom,,
,Al’s Deli,Roast Beef,,
,Publican Quality Meats,PB&L,,
,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,,
,Acadia,Lobster Roll,,
,Birchwood Kitchen,Smoked Salmon Salad,,
,Cemitas Puebla,Atomica Cemitas,,
,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,,
,Lula Cafe,Ham and Raclette Panino,,
,Ricobene’s,Breaded Steak,,
,Frog n Snail,The Hawkeye,,
,Crosby’s Kitchen,Chicken Dip,,
,Longman & Eagle,Wild Boar Sloppy Joe,,
,Bari,Meatball Sub,,
,Manny’s,Corned Beef,,
,Eggy’s,Turkey Club,,
,Old Jerusalem,Falafel,,
,Mindy’s HotChocolate,Crab Cake,,
,Olga’s Delicatessen,Chicken Schnitzel,,
,Dawali Mediterranean Kitchen,Shawarma,,
,Big Jones,Toasted Pimiento Cheese,,
,La Pane,Vegetarian Panino,,
,Pastoral,Cali Chèvre,,
,Max’s Deli,Pastrami,,
,Lucky’s Sandwich Co.,The Fredo,,
,City Provisions,Smoked Ham,,
,Papa’s Cache Sabroso,Jibarito,,
,Bavette’s Bar & Boeuf,Shaved Prime Rib,,
,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,,
,La Fournette,Tuna Salad,,
,Paramount Room,Paramount Reuben,,
,Melt Sandwich Shoppe,The Istanbul,,
,Floriole Cafe & Bakery,B.A.D.,,
,First Slice Pie Café,Duck Confit and Mozzarella,,
,Troquet,Croque Monsieur,,
,Grahamwich,Green Garbanzo,,
,Saigon Sisters,The Hen House,,
,Rosalia’s Deli,Tuscan Chicken,,
,Z&H MarketCafe,The Marty ,,
,Market House on the Square,Whitefish,,
,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",,
,Marion Street Cheese Market,Cauliflower Melt,,
,Cafecito,Cubana,,
,Chickpea,Kufta,,
,The Goddess and Grocer,Debbie’s Egg Salad,,
,Zenwich,Beef Curry,,
,Toni Patisserie,Le Végétarien,,
,Phoebe’s Bakery,The Gatsby,,
